PestName,ScientificName,HostCrop,RecommendedPesticide,ApplicationMethod
Fruit Fly,Species 03. Genus,Wheat,Spirotetramat,Dust Application
Yellow Mosaic Virus,Species 15. Genus,Chili,Carbendazim,Soil Drench
Wilt,Species 01. Genus,Soybean,Thiophanate-methyl,Spot Treatment
Thrips,Species 07. Genus,Rice,Lambda-cyhalothrin,Spot Treatment
Bollworm,Species 16. Genus,Soybean,Fipronil,Spot Treatment
Pod Borer,Species 12. Genus,Soybean,Mancozeb,Ultra-Low Volume
Mealybug,Species 18. Genus,Rice,Carbendazim,Root Dip
Aphids,Species 08. Genus,Rice,Bifenthrin,Dust Application
Pod Borer,Species 17. Genus,Tomato,Flubendiamide,Aerosol
Mites,Species 10. Genus,Rice,Azoxystrobin,Micro-Encapsulation
Scale Insect,Species 16. Genus,Maize,Spirotetramat,Dust Application
Pod Borer,Species 10. Genus,Rice,Bifenthrin,Seed Treatment
Smut,Species 06. Genus,Cotton,Cypermethrin,Micro-Encapsulation
Leafhopper,Species 06. Genus,Soybean,Spinetoram,Thermal Fogging
Pod Borer,Species 17. Genus,Rice,Deltamethrin,Granular Soil
Bollworm,Species 16. Genus,Maize,Flubendiamide,Thermal Fogging
Blast,Species 04. Genus,Jute,Pyriproxyfen,Micro-Encapsulation
Yellow Mosaic Virus,Species 10. Genus,Maize,Ethoprophos,Chemigation
Root Rot,Species 05. Genus,Wheat,Lambda-cyhalothrin,Chemigation
Wilt,Species 20. Genus,Groundnut,Neem Oil,Spot Treatment
Nematode,Species 08. Genus,Gram,Ethoprophos,Hand Spraying
Leafhopper,Species 18. Genus,Mustard,Neem Oil,Pressure Spray
Thrips,Species 15. Genus,Cotton,Mancozeb,Granular Soil
Nematode,Species 02. Genus,Groundnut,Tebuconazole,Soil Drench
Pod Borer,Species 10. Genus,Cotton,Fipronil,Micro-Encapsulation
Aphids,Species 02. Genus,Rice,Metalaxyl,Dipping
Cutworm,Species 08. Genus,Groundnut,Tebuconazole,Electrostatic Spray
Pod Borer,Species 07. Genus,Wheat,Thiophanate-methyl,Banding
Thrips,Species 12. Genus,Soybean,Lambda-cyhalothrin,Bait Application
Fruit Fly,Species 17. Genus,Maize,Bifenthrin,Aerosol
Nematode,Species 06. Genus,Wheat,Bifenthrin,Granular Soil
Scale Insect,Species 06. Genus,Cotton,Bifenthrin,Dipping
Whitefly,Species 17. Genus,Groundnut,Flubendiamide,Bait Application
Mites,Species 02. Genus,Wheat,Chlorpyrifos,Trunk Injection
Rust,Species 08. Genus,Cotton,Metalaxyl,Spot Treatment
Blast,Species 01. Genus,Gram,Tebuconazole,Spot Treatment
Root Rot,Species 11. Genus,Soybean,Tebuconazole,Root Dip
Nematode,Species 01. Genus,Rice,Spirotetramat,Seed Treatment
Scale Insect,Species 05. Genus,Soybean,Azoxystrobin,Dipping
Mealybug,Species 04. Genus,Maize,Chlorpyrifos,Granular Soil
Smut,Species 20. Genus,Gram,Imidacloprid,Foliar Spray
Mealybug,Species 01. Genus,Wheat,Metalaxyl,Banding
Nematode,Species 06. Genus,Chili,Flubendiamide,Seed Treatment
Rust,Species 06. Genus,Tomato,Spirotetramat,Pressure Spray
Fruit Fly,Species 10. Genus,Maize,Thiophanate-methyl,Electrostatic Spray
Whitefly,Species 20. Genus,Banana,Tebuconazole,Dust Application
Stem Borer,Species 13. Genus,Lentil,Bifenthrin,Banding
Mites,Species 12. Genus,Wheat,Neem Oil,Aerosol
Blast,Species 08. Genus,Maize,Fipronil,Dipping
Wilt,Species 09. Genus,Potato,Pyriproxyfen,Broadcast Spray
Fruit Fly,Species 09. Genus,Cotton,Flubendiamide,Chemigation
Scale Insect,Species 18. Genus,Rice,Lambda-cyhalothrin,Pressure Spray
Blast,Species 02. Genus,Rice,Cypermethrin,Dust Application
Stem Borer,Species 09. Genus,Wheat,Bifenthrin,Granular Soil
Pod Borer,Species 02. Genus,Soybean,Imidacloprid,Broadcast Spray
Cutworm,Species 10. Genus,Soybean,Ethoprophos,Banding
Pod Borer,Species 17. Genus,Onion,Metalaxyl,Dust Application
Mealybug,Species 04. Genus,Sugarcane,Chlorpyrifos,Trunk Injection
Cutworm,Species 07. Genus,Maize,Fipronil,Ultra-Low Volume
Armyworm,Species 18. Genus,Soybean,Spirotetramat,Chemigation
Cutworm,Species 17. Genus,Mustard,Ethoprophos,Dust Application
Leafhopper,Species 03. Genus,Tea,Deltamethrin,Dust Application
Blast,Species 14. Genus,Coffee,Thiophanate-methyl,Broadcast Spray
Root Rot,Species 01. Genus,Maize,Deltamethrin,Chemigation
Yellow Mosaic Virus,Species 19. Genus,Tomato,Neem Oil,Banding
Bollworm,Species 11. Genus,Wheat,Chlorpyrifos,Spot Treatment
Nematode,Species 09. Genus,Groundnut,Pyriproxyfen,Foliar Spray
Nematode,Species 02. Genus,Rice,Carbendazim,Broadcast Spray
Mealybug,Species 03. Genus,Rice,Cypermethrin,Dipping
Stem Borer,Species 04. Genus,Groundnut,Bifenthrin,Ultra-Low Volume
Mites,Species 19. Genus,Maize,Bacillus thuringiensis,Chemigation
Mealybug,Species 20. Genus,Potato,Spinetoram,Seed Treatment
Thrips,Species 17. Genus,Maize,Lambda-cyhalothrin,Hand Spraying
Blast,Species 04. Genus,Cotton,Spirotetramat,Ultra-Low Volume
Mites,Species 02. Genus,Soybean,Lambda-cyhalothrin,Dipping
Smut,Species 07. Genus,Wheat,Chlorpyrifos,Thermal Fogging
Aphids,Species 10. Genus,Maize,Metalaxyl,Electrostatic Spray
Wilt,Species 13. Genus,Rice,Spinetoram,Granular Soil
Rust,Species 14. Genus,Coffee,Bacillus thuringiensis,Micro-Encapsulation
Leafhopper,Species 08. Genus,Gram,Pyriproxyfen,Root Dip
Mites,Species 18. Genus,Soybean,Pyriproxyfen,Broadcast Spray
Fruit Fly,Species 10. Genus,Rice,Neem Oil,Trunk Injection
Stem Borer,Species 10. Genus,Chili,Carbendazim,Electrostatic Spray
Wilt,Species 14. Genus,Maize,Cypermethrin,Dipping
Pod Borer,Species 19. Genus,Potato,Neem Oil,Seed Treatment
Whitefly,Species 15. Genus,Cotton,Spinetoram,Thermal Fogging
Root Rot,Species 09. Genus,Wheat,Spirotetramat,Trunk Injection
Thrips,Species 07. Genus,Onion,Carbendazim,Dipping
Leafhopper,Species 05. Genus,Rice,Azoxystrobin,Aerosol
Aphids,Species 12. Genus,Potato,Imidacloprid,Electrostatic Spray
Root Rot,Species 18. Genus,Jute,Deltamethrin,Seed Treatment
Leafhopper,Species 03. Genus,Cotton,Metalaxyl,Pressure Spray
Pod Borer,Species 14. Genus,Cotton,Ethoprophos,Thermal Fogging
Scale Insect,Species 18. Genus,Wheat,Ethoprophos,Root Dip
Cutworm,Species 02. Genus,Rice,Imidacloprid,Micro-Encapsulation
Leafhopper,Species 11. Genus,Soybean,Flubendiamide,Root Dip
Aphids,Species 09. Genus,Rice,Metalaxyl,Electrostatic Spray
Mealybug,Species 11. Genus,Jute,Lambda-cyhalothrin,Broadcast Spray
Wilt,Species 07. Genus,Chili,Cypermethrin,Electrostatic Spray
Whitefly,Species 12. Genus,Chili,Azoxystrobin,Hand Spraying
Aphids,Species 05. Genus,Mustard,Metalaxyl,Granular Soil
Fruit Fly,Species 05. Genus,Soybean,Spinetoram,Chemigation
Aphids,Species 17. Genus,Soybean,Chlorpyrifos,Dust Application
Yellow Mosaic Virus,Species 06. Genus,Cotton,Mancozeb,Chemigation
Thrips,Species 17. Genus,Banana,Bifenthrin,Chemigation
Yellow Mosaic Virus,Species 04. Genus,Soybean,Deltamethrin,Dust Application
Root Rot,Species 20. Genus,Rice,Bifenthrin,Dipping
Aphids,Species 13. Genus,Cabbage,Neem Oil,Pressure Spray
Leafhopper,Species 15. Genus,Potato,Ethoprophos,Pressure Spray
Scale Insect,Species 11. Genus,Wheat,Neem Oil,Banding
Fruit Fly,Species 04. Genus,Maize,Mancozeb,Root Dip
Stem Borer,Species 01. Genus,Rice,Imidacloprid,Bait Application
Scale Insect,Species 05. Genus,Tea,Pyriproxyfen,Dust Application
Smut,Species 06. Genus,Banana,Bacillus thuringiensis,Aerosol
Rust,Species 01. Genus,Rice,Metalaxyl,Chemigation
Pod Borer,Species 16. Genus,Wheat,Tebuconazole,Foliar Spray
Blast,Species 13. Genus,Groundnut,Spinetoram,Foliar Spray
Mealybug,Species 02. Genus,Groundnut,Ethoprophos,Granular Soil
Mites,Species 12. Genus,Maize,Cypermethrin,Electrostatic Spray
Thrips,Species 03. Genus,Soybean,Mancozeb,Foliar Spray
Mealybug,Species 20. Genus,Wheat,Flubendiamide,Hand Spraying
Whitefly,Species 03. Genus,Rice,Fipronil,Seed Treatment
Scale Insect,Species 14. Genus,Chili,Metalaxyl,Trunk Injection
Stem Borer,Species 06. Genus,Jute,Pyriproxyfen,Banding
Smut,Species 03. Genus,Cotton,Pyriproxyfen,Hand Spraying
Bollworm,Species 12. Genus,Chili,Spinetoram,Broadcast Spray
Blast,Species 18. Genus,Soybean,Azoxystrobin,Spot Treatment
Fruit Fly,Species 08. Genus,Soybean,Bacillus thuringiensis,Root Dip
Blast,Species 14. Genus,Soybean,Chlorpyrifos,Trunk Injection
Rust,Species 02. Genus,Mustard,Mancozeb,Root Dip
Wilt,Species 01. Genus,Gram,Pyriproxyfen,Soil Drench
Root Rot,Species 15. Genus,Maize,Carbendazim,Dust Application
Mealybug,Species 19. Genus,Cotton,Metalaxyl,Micro-Encapsulation
Aphids,Species 13. Genus,Rice,Lambda-cyhalothrin,Foliar Spray
Whitefly,Species 03. Genus,Cotton,Thiophanate-methyl,Ultra-Low Volume
Leafhopper,Species 02. Genus,Soybean,Mancozeb,Chemigation
Whitefly,Species 09. Genus,Rice,Spinetoram,Dipping
Pod Borer,Species 10. Genus,Groundnut,Neem Oil,Foliar Spray
Rust,Species 07. Genus,Cotton,Deltamethrin,Hand Spraying
Whitefly,Species 11. Genus,Mango,Deltamethrin,Seed Treatment
Cutworm,Species 08. Genus,Coffee,Neem Oil,Electrostatic Spray
Mealybug,Species 09. Genus,Potato,Neem Oil,Thermal Fogging
Cutworm,Species 16. Genus,Cotton,Spirotetramat,Bait Application
Scale Insect,Species 06. Genus,Mango,Neem Oil,Broadcast Spray
Blast,Species 01. Genus,Soybean,Lambda-cyhalothrin,Root Dip
Stem Borer,Species 06. Genus,Wheat,Cypermethrin,Root Dip
Pod Borer,Species 15. Genus,Cotton,Chlorpyrifos,Broadcast Spray
Yellow Mosaic Virus,Species 04. Genus,Chili,Bacillus thuringiensis,Seed Treatment
Nematode,Species 13. Genus,Banana,Thiophanate-methyl,Thermal Fogging
Pod Borer,Species 04. Genus,Tomato,Chlorpyrifos,Root Dip
Stem Borer,Species 04. Genus,Rice,Mancozeb,Hand Spraying
Smut,Species 15. Genus,Sugarcane,Azoxystrobin,Granular Soil
Fruit Fly,Species 12. Genus,Wheat,Pyriproxyfen,Electrostatic Spray
Aphids,Species 15. Genus,Gram,Imidacloprid,Thermal Fogging
Yellow Mosaic Virus,Species 06. Genus,Sugarcane,Metalaxyl,Soil Drench
Yellow Mosaic Virus,Species 17. Genus,Chili,Imidacloprid,Thermal Fogging
Blast,Species 15. Genus,Wheat,Deltamethrin,Root Dip
Leafhopper,Species 05. Genus,Cotton,Ethoprophos,Granular Soil
Scale Insect,Species 08. Genus,Cotton,Spinetoram,Thermal Fogging
Root Rot,Species 13. Genus,Jute,Spinetoram,Trunk Injection
Nematode,Species 16. Genus,Wheat,Tebuconazole,Dipping
Smut,Species 14. Genus,Wheat,Spinetoram,Broadcast Spray
Thrips,Species 11. Genus,Rice,Imidacloprid,Granular Soil
Nematode,Species 20. Genus,Chili,Tebuconazole,Electrostatic Spray
Bollworm,Species 12. Genus,Wheat,Azoxystrobin,Dust Application
Armyworm,Species 02. Genus,Rice,Carbendazim,Foliar Spray
Fruit Fly,Species 17. Genus,Lentil,Mancozeb,Dipping
Pod Borer,Species 13. Genus,Jute,Thiophanate-methyl,Micro-Encapsulation
Smut,Species 19. Genus,Potato,Imidacloprid,Foliar Spray
Root Rot,Species 06. Genus,Tomato,Bacillus thuringiensis,Ultra-Low Volume
Leafhopper,Species 05. Genus,Groundnut,Spirotetramat,Pressure Spray
Stem Borer,Species 04. Genus,Soybean,Spinetoram,Micro-Encapsulation
Cutworm,Species 08. Genus,Jute,Bacillus thuringiensis,Seed Treatment
Aphids,Species 03. Genus,Wheat,Carbendazim,Dipping
Smut,Species 01. Genus,Maize,Imidacloprid,Aerosol
Whitefly,Species 19. Genus,Onion,Lambda-cyhalothrin,Chemigation
Scale Insect,Species 10. Genus,Mustard,Lambda-cyhalothrin,Broadcast Spray
Wilt,Species 08. Genus,Maize,Spinetoram,Pressure Spray
Cutworm,Species 09. Genus,Cotton,Fipronil,Bait Application
Smut,Species 12. Genus,Maize,Deltamethrin,Pressure Spray
Leafhopper,Species 18. Genus,Maize,Mancozeb,Foliar Spray
Nematode,Species 08. Genus,Gram,Bacillus thuringiensis,Spot Treatment
Mites,Species 06. Genus,Cotton,Lambda-cyhalothrin,Electrostatic Spray
Blast,Species 08. Genus,Maize,Deltamethrin,Bait Application
Cutworm,Species 06. Genus,Mango,Imidacloprid,Ultra-Low Volume
Armyworm,Species 08. Genus,Soybean,Chlorpyrifos,Trunk Injection
Aphids,Species 12. Genus,Maize,Tebuconazole,Root Dip
Yellow Mosaic Virus,Species 10. Genus,Soybean,Tebuconazole,Micro-Encapsulation
Thrips,Species 05. Genus,Coffee,Pyriproxyfen,Seed Treatment
Rust,Species 07. Genus,Soybean,Azoxystrobin,Dust Application
Mealybug,Species 04. Genus,Maize,Deltamethrin,Foliar Spray
Wilt,Species 08. Genus,Cotton,Deltamethrin,Dipping
Rust,Species 02. Genus,Cabbage,Flubendiamide,Ultra-Low Volume
Pod Borer,Species 01. Genus,Wheat,Bacillus thuringiensis,Dust Application
Leafhopper,Species 14. Genus,Potato,Neem Oil,Foliar Spray
Cutworm,Species 01. Genus,Groundnut,Cypermethrin,Banding
Mealybug,Species 08. Genus,Coffee,Ethoprophos,Chemigation
Aphids,Species 06. Genus,Soybean,Mancozeb,Banding
Root Rot,Species 20. Genus,Mustard,Mancozeb,Trunk Injection
Blast,Species 02. Genus,Coffee,Thiophanate-methyl,Seed Treatment
Rust,Species 19. Genus,Gram,Flubendiamide,Banding
Smut,Species 02. Genus,Wheat,Bifenthrin,Pressure Spray
Bollworm,Species 15. Genus,Wheat,Spinetoram,Pressure Spray
Root Rot,Species 01. Genus,Cotton,Carbendazim,Spot Treatment
Scale Insect,Species 04. Genus,Sugarcane,Flubendiamide,Thermal Fogging
Mealybug,Species 14. Genus,Jute,Deltamethrin,Dust Application
Wilt,Species 01. Genus,Cotton,Lambda-cyhalothrin,Dipping
Stem Borer,Species 16. Genus,Onion,Neem Oil,Seed Treatment
Blast,Species 13. Genus,Soybean,Azoxystrobin,Spot Treatment
Blast,Species 04. Genus,Soybean,Spirotetramat,Soil Drench
Armyworm,Species 10. Genus,Soybean,Spinetoram,Broadcast Spray
Wilt,Species 10. Genus,Soybean,Metalaxyl,Root Dip
Fruit Fly,Species 16. Genus,Cotton,Neem Oil,Electrostatic Spray
Rust,Species 05. Genus,Rice,Spinetoram,Trunk Injection
Scale Insect,Species 17. Genus,Cotton,Pyriproxyfen,Trunk Injection
Scale Insect,Species 16. Genus,Cotton,Deltamethrin,Trunk Injection
Whitefly,Species 09. Genus,Soybean,Chlorpyrifos,Trunk Injection
Cutworm,Species 03. Genus,Maize,Spirotetramat,Soil Drench
Pod Borer,Species 18. Genus,Mango,Spinetoram,Pressure Spray
Blast,Species 17. Genus,Maize,Deltamethrin,Broadcast Spray
Mealybug,Species 08. Genus,Wheat,Cypermethrin,Thermal Fogging
Nematode,Species 16. Genus,Tea,Thiophanate-methyl,Spot Treatment
Yellow Mosaic Virus,Species 11. Genus,Coffee,Carbendazim,Ultra-Low Volume
Smut,Species 05. Genus,Rice,Neem Oil,Thermal Fogging
Mealybug,Species 07. Genus,Lentil,Carbendazim,Electrostatic Spray
Yellow Mosaic Virus,Species 19. Genus,Cotton,Ethoprophos,Thermal Fogging
Stem Borer,Species 05. Genus,Rice,Carbendazim,Dipping
Fruit Fly,Species 16. Genus,Maize,Azoxystrobin,Pressure Spray
Stem Borer,Species 11. Genus,Sugarcane,Spirotetramat,Seed Treatment
Cutworm,Species 15. Genus,Rice,Ethoprophos,Pressure Spray
Aphids,Species 13. Genus,Mustard,Mancozeb,Ultra-Low Volume
Nematode,Species 15. Genus,Coffee,Flubendiamide,Bait Application
Cutworm,Species 18. Genus,Banana,Tebuconazole,Dipping
Bollworm,Species 14. Genus,Maize,Flubendiamide,Dust Application
Whitefly,Species 01. Genus,Wheat,Imidacloprid,Granular Soil
Stem Borer,Species 02. Genus,Soybean,Deltamethrin,Pressure Spray
Armyworm,Species 12. Genus,Onion,Spirotetramat,Dust Application
Stem Borer,Species 09. Genus,Soybean,Spirotetramat,Pressure Spray
Mites,Species 09. Genus,Lentil,Spinetoram,Bait Application
Wilt,Species 04. Genus,Rice,Neem Oil,Spot Treatment
Pod Borer,Species 17. Genus,Soybean,Imidacloprid,Bait Application
Whitefly,Species 20. Genus,Rice,Spirotetramat,Hand Spraying
Nematode,Species 02. Genus,Soybean,Fipronil,Dipping
Whitefly,Species 11. Genus,Soybean,Fipronil,Seed Treatment
Blast,Species 16. Genus,Rice,Bifenthrin,Hand Spraying
Mealybug,Species 04. Genus,Mustard,Mancozeb,Aerosol
Leafhopper,Species 15. Genus,Soybean,Lambda-cyhalothrin,Broadcast Spray
Mealybug,Species 12. Genus,Wheat,Fipronil,Hand Spraying
Stem Borer,Species 14. Genus,Wheat,Bifenthrin,Foliar Spray
Rust,Species 08. Genus,Maize,Ethoprophos,Aerosol
Cutworm,Species 07. Genus,Jute,Pyriproxyfen,Banding
Cutworm,Species 05. Genus,Sugarcane,Mancozeb,Banding
Fruit Fly,Species 13. Genus,Mango,Metalaxyl,Seed Treatment
Cutworm,Species 02. Genus,Wheat,Bifenthrin,Thermal Fogging
Thrips,Species 07. Genus,Rice,Deltamethrin,Bait Application
Wilt,Species 18. Genus,Cotton,Bifenthrin,Aerosol
Wilt,Species 05. Genus,Rice,Neem Oil,Dipping
Cutworm,Species 15. Genus,Cotton,Bacillus thuringiensis,Spot Treatment
Thrips,Species 17. Genus,Gram,Imidacloprid,Electrostatic Spray
Yellow Mosaic Virus,Species 02. Genus,Onion,Imidacloprid,Micro-Encapsulation
Cutworm,Species 04. Genus,Lentil,Deltamethrin,Dipping
Smut,Species 06. Genus,Wheat,Neem Oil,Trunk Injection
Leafhopper,Species 20. Genus,Gram,Tebuconazole,Pressure Spray
Wilt,Species 03. Genus,Maize,Neem Oil,Chemigation
Rust,Species 13. Genus,Wheat,Deltamethrin,Aerosol
Pod Borer,Species 01. Genus,Maize,Metalaxyl,Granular Soil
Blast,Species 09. Genus,Wheat,Mancozeb,Thermal Fogging
Wilt,Species 20. Genus,Maize,Carbendazim,Dust Application
Pod Borer,Species 19. Genus,Soybean,Metalaxyl,Aerosol
Yellow Mosaic Virus,Species 08. Genus,Rice,Chlorpyrifos,Soil Drench
Bollworm,Species 13. Genus,Cotton,Pyriproxyfen,Ultra-Low Volume
Smut,Species 08. Genus,Maize,Imidacloprid,Trunk Injection
Armyworm,Species 10. Genus,Maize,Spinetoram,Root Dip
Whitefly,Species 06. Genus,Rice,Chlorpyrifos,Bait Application
Root Rot,Species 13. Genus,Groundnut,Carbendazim,Dipping
Rust,Species 17. Genus,Soybean,Thiophanate-methyl,Bait Application
Bollworm,Species 17. Genus,Maize,Metalaxyl,Dipping
Armyworm,Species 13. Genus,Maize,Deltamethrin,Micro-Encapsulation
Leafhopper,Species 07. Genus,Wheat,Fipronil,Thermal Fogging
Yellow Mosaic Virus,Species 03. Genus,Coffee,Azoxystrobin,Dust Application
Yellow Mosaic Virus,Species 14. Genus,Maize,Neem Oil,Foliar Spray
Nematode,Species 10. Genus,Chili,Pyriproxyfen,Dipping
Rust,Species 12. Genus,Soybean,Tebuconazole,Hand Spraying
Scale Insect,Species 18. Genus,Mustard,Chlorpyrifos,Broadcast Spray
Fruit Fly,Species 09. Genus,Gram,Spirotetramat,Broadcast Spray
Fruit Fly,Species 08. Genus,Wheat,Thiophanate-methyl,Hand Spraying
Aphids,Species 19. Genus,Maize,Imidacloprid,Pressure Spray
Root Rot,Species 03. Genus,Maize,Neem Oil,Broadcast Spray
Bollworm,Species 05. Genus,Cotton,Neem Oil,Broadcast Spray
Bollworm,Species 19. Genus,Tomato,Azoxystrobin,Root Dip
Aphids,Species 11. Genus,Rice,Imidacloprid,Pressure Spray
Mealybug,Species 16. Genus,Cotton,Fipronil,Soil Drench
Armyworm,Species 02. Genus,Groundnut,Mancozeb,Trunk Injection
Aphids,Species 11. Genus,Rice,Lambda-cyhalothrin,Soil Drench
Fruit Fly,Species 06. Genus,Soybean,Thiophanate-methyl,Electrostatic Spray
Wilt,Species 04. Genus,Mango,Fipronil,Soil Drench
Mealybug,Species 18. Genus,Tea,Lambda-cyhalothrin,Spot Treatment
Bollworm,Species 14. Genus,Wheat,Chlorpyrifos,Granular Soil
Yellow Mosaic Virus,Species 05. Genus,Cotton,Fipronil,Electrostatic Spray
Blast,Species 01. Genus,Wheat,Metalaxyl,Soil Drench
Mealybug,Species 16. Genus,Mustard,Fipronil,Seed Treatment
Yellow Mosaic Virus,Species 09. Genus,Tea,Neem Oil,Banding
Rust,Species 20. Genus,Sugarcane,Pyriproxyfen,Aerosol
Fruit Fly,Species 07. Genus,Rice,Tebuconazole,Dipping
Smut,Species 19. Genus,Lentil,Azoxystrobin,Bait Application
Whitefly,Species 07. Genus,Cotton,Metalaxyl,Thermal Fogging
Cutworm,Species 17. Genus,Soybean,Spirotetramat,Ultra-Low Volume
Aphids,Species 13. Genus,Sugarcane,Bifenthrin,Electrostatic Spray
Root Rot,Species 17. Genus,Cotton,Metalaxyl,Trunk Injection
Mites,Species 09. Genus,Wheat,Thiophanate-methyl,Granular Soil
Cutworm,Species 11. Genus,Rice,Imidacloprid,Hand Spraying
Rust,Species 19. Genus,Maize,Pyriproxyfen,Root Dip
Nematode,Species 13. Genus,Tomato,Azoxystrobin,Electrostatic Spray
Cutworm,Species 10. Genus,Coffee,Azoxystrobin,Seed Treatment
Whitefly,Species 15. Genus,Cabbage,Imidacloprid,Thermal Fogging
Root Rot,Species 14. Genus,Sugarcane,Bifenthrin,Root Dip
Aphids,Species 10. Genus,Maize,Pyriproxyfen,Ultra-Low Volume
Wilt,Species 13. Genus,Wheat,Metalaxyl,Granular Soil
Nematode,Species 03. Genus,Soybean,Cypermethrin,Chemigation
Armyworm,Species 05. Genus,Cotton,Tebuconazole,Root Dip
Smut,Species 08. Genus,Groundnut,Cypermethrin,Electrostatic Spray
Nematode,Species 02. Genus,Wheat,Spinetoram,Pressure Spray
Thrips,Species 15. Genus,Wheat,Bacillus thuringiensis,Soil Drench
Armyworm,Species 11. Genus,Maize,Metalaxyl,Broadcast Spray
Blast,Species 11. Genus,Groundnut,Spirotetramat,Electrostatic Spray
Scale Insect,Species 04. Genus,Chili,Bifenthrin,Electrostatic Spray
Aphids,Species 03. Genus,Wheat,Thiophanate-methyl,Trunk Injection
Stem Borer,Species 03. Genus,Jute,Spinetoram,Micro-Encapsulation
Root Rot,Species 12. Genus,Banana,Mancozeb,Soil Drench
Smut,Species 06. Genus,Wheat,Bacillus thuringiensis,Foliar Spray
Bollworm,Species 20. Genus,Cotton,Spinetoram,Pressure Spray
Yellow Mosaic Virus,Species 16. Genus,Tomato,Pyriproxyfen,Spot Treatment
Root Rot,Species 09. Genus,Soybean,Fipronil,Foliar Spray
Cutworm,Species 02. Genus,Cotton,Flubendiamide,Aerosol
Nematode,Species 14. Genus,Rice,Lambda-cyhalothrin,Granular Soil
Armyworm,Species 17. Genus,Groundnut,Cypermethrin,Soil Drench
Root Rot,Species 08. Genus,Maize,Bifenthrin,Seed Treatment
Thrips,Species 05. Genus,Onion,Imidacloprid,Thermal Fogging
Mealybug,Species 19. Genus,Soybean,Deltamethrin,Ultra-Low Volume
Yellow Mosaic Virus,Species 01. Genus,Onion,Carbendazim,Bait Application
Armyworm,Species 07. Genus,Soybean,Chlorpyrifos,Hand Spraying
Leafhopper,Species 11. Genus,Maize,Carbendazim,Soil Drench
Rust,Species 18. Genus,Jute,Azoxystrobin,Foliar Spray
Blast,Species 19. Genus,Maize,Spirotetramat,Ultra-Low Volume
Pod Borer,Species 16. Genus,Rice,Spinetoram,Ultra-Low Volume
Stem Borer,Species 02. Genus,Cotton,Tebuconazole,Foliar Spray
Leafhopper,Species 12. Genus,Maize,Neem Oil,Spot Treatment
Nematode,Species 10. Genus,Coffee,Bifenthrin,Soil Drench
Mites,Species 03. Genus,Soybean,Tebuconazole,Ultra-Low Volume
Wilt,Species 10. Genus,Rice,Bacillus thuringiensis,Thermal Fogging
Yellow Mosaic Virus,Species 02. Genus,Sugarcane,Azoxystrobin,Pressure Spray
Smut,Species 15. Genus,Maize,Carbendazim,Soil Drench
Armyworm,Species 20. Genus,Wheat,Spinetoram,Dipping
Stem Borer,Species 12. Genus,Maize,Fipronil,Seed Treatment
Blast,Species 15. Genus,Sugarcane,Spirotetramat,Root Dip
Armyworm,Species 14. Genus,Tomato,Azoxystrobin,Hand Spraying
Stem Borer,Species 19. Genus,Coffee,Fipronil,Aerosol
Armyworm,Species 20. Genus,Sugarcane,Chlorpyrifos,Foliar Spray
Scale Insect,Species 15. Genus,Groundnut,Pyriproxyfen,Thermal Fogging
Thrips,Species 06. Genus,Maize,Lambda-cyhalothrin,Trunk Injection
Cutworm,Species 12. Genus,Coffee,Neem Oil,Spot Treatment
Fruit Fly,Species 14. Genus,Soybean,Metalaxyl,Pressure Spray
Rust,Species 15. Genus,Lentil,Flubendiamide,Chemigation
Mealybug,Species 20. Genus,Potato,Neem Oil,Seed Treatment
Cutworm,Species 04. Genus,Wheat,Pyriproxyfen,Chemigation
Rust,Species 07. Genus,Rice,Spinetoram,Thermal Fogging
Whitefly,Species 06. Genus,Lentil,Bifenthrin,Soil Drench
Rust,Species 02. Genus,Soybean,Fipronil,Granular Soil
Stem Borer,Species 16. Genus,Wheat,Chlorpyrifos,Spot Treatment
Armyworm,Species 09. Genus,Maize,Carbendazim,Dust Application
Wilt,Species 19. Genus,Maize,Thiophanate-methyl,Chemigation
Mealybug,Species 09. Genus,Coffee,Pyriproxyfen,Ultra-Low Volume
Stem Borer,Species 02. Genus,Wheat,Azoxystrobin,Root Dip
Rust,Species 10. Genus,Rice,Neem Oil,Granular Soil
Nematode,Species 10. Genus,Groundnut,Fipronil,Trunk Injection
Rust,Species 05. Genus,Maize,Carbendazim,Bait Application
Armyworm,Species 03. Genus,Cotton,Lambda-cyhalothrin,Bait Application
Mites,Species 17. Genus,Gram,Azoxystrobin,Chemigation
Scale Insect,Species 12. Genus,Soybean,Lambda-cyhalothrin,Soil Drench
Blast,Species 08. Genus,Rice,Flubendiamide,Broadcast Spray
Scale Insect,Species 03. Genus,Maize,Chlorpyrifos,Spot Treatment
Leafhopper,Species 11. Genus,Soybean,Neem Oil,Spot Treatment
Nematode,Species 17. Genus,Lentil,Bifenthrin,Thermal Fogging
Pod Borer,Species 03. Genus,Wheat,Imidacloprid,Root Dip
Scale Insect,Species 17. Genus,Wheat,Neem Oil,Spot Treatment
Bollworm,Species 16. Genus,Maize,Flubendiamide,Thermal Fogging
Nematode,Species 06. Genus,Wheat,Fipronil,Ultra-Low Volume
Mealybug,Species 08. Genus,Lentil,Imidacloprid,Micro-Encapsulation
Stem Borer,Species 07. Genus,Soybean,Imidacloprid,Dipping
Blast,Species 02. Genus,Onion,Carbendazim,Dust Application
