SoilType,pH_Range,OC_Level,N_Level,P_Level,K_Level,Predicted_Health_Class
Loam,Neutral,Medium,Excess,Adequate,High,Moderate
Sand,Acidic,Medium,Low,Adequate,Adequate,Poor
Silt,Acidic,Very High,Low,Low,Adequate,Critical
Silt,Slightly Alkaline,Low,Adequate,Adequate,Deficient,Moderate
Sand,Acidic,High,Low,Excess,Adequate,Poor
Sand,Neutral,High,Deficient,Adequate,Excess,Good
Silt,Slightly Acidic,Very Low,Low,Deficient,Adequate,Poor
Loam,Slightly Alkaline,Low,Adequate,Adequate,High,Excellent
Chalk,Alkaline,Very Low,High,Deficient,Adequate,Good
Silt,Acidic,High,Low,Excess,Low,Good
Chalk,Slightly Acidic,Low,High,Deficient,Adequate,Good
Sand,Acidic,Low,Adequate,Low,Low,Good
Silt,Alkaline,High,Deficient,Excess,Adequate,Excellent
Loam,Alkaline,Very High,Excess,Adequate,High,Good
Silt,Acidic,High,Low,High,Deficient,Moderate
Sand,Acidic,Very High,Deficient,Adequate,Low,Moderate
Chalk,Slightly Acidic,Very Low,Adequate,High,Excess,Critical
Loam,Alkaline,Medium,Adequate,Deficient,High,Good
Clay,Acidic,Low,Adequate,High,Deficient,Good
Sand,Alkaline,High,Adequate,Adequate,Adequate,Moderate
Silt,Neutral,High,Deficient,Excess,High,Moderate
Silt,Acidic,Very Low,Excess,Excess,Low,Critical
Sand,Slightly Acidic,High,Excess,Excess,Adequate,Good
Clay,Acidic,Low,High,Deficient,Deficient,Moderate
Silt,Slightly Alkaline,Medium,Adequate,Adequate,Low,Good
Chalk,Neutral,Low,High,Adequate,Deficient,Good
Sand,Slightly Acidic,Very Low,Deficient,Adequate,Low,Poor
Silt,Slightly Alkaline,Very High,Adequate,Low,Excess,Poor
Sand,Slightly Acidic,Medium,Adequate,Adequate,Low,Moderate
Clay,Acidic,Medium,Adequate,High,Deficient,Moderate
Chalk,Slightly Alkaline,High,Deficient,Low,Excess,Moderate
Chalk,Slightly Alkaline,Low,Adequate,Excess,High,Excellent
Loam,Slightly Acidic,Very Low,Low,Deficient,Low,Good
Chalk,Slightly Acidic,Very High,Excess,High,Low,Poor
Clay,Slightly Acidic,High,Low,Low,Deficient,Poor
Loam,Acidic,Low,Excess,Deficient,Low,Moderate
Chalk,Neutral,Medium,Adequate,Low,Excess,Critical
Loam,Acidic,High,Adequate,Deficient,Adequate,Critical
Silt,Slightly Acidic,Very High,High,Deficient,Excess,Moderate
Silt,Neutral,Low,Excess,Low,Excess,Poor
Sand,Slightly Alkaline,Very High,Excess,Low,Low,Good
Silt,Alkaline,Very High,High,High,Excess,Good
Silt,Slightly Acidic,Medium,Adequate,Deficient,Adequate,Good
Silt,Alkaline,Very High,High,Low,Low,Excellent
Clay,Alkaline,Medium,High,Deficient,Excess,Moderate
Loam,Slightly Alkaline,High,Adequate,High,High,Good
Sand,Neutral,High,Low,Adequate,Adequate,Poor
Chalk,Slightly Acidic,High,Adequate,Deficient,High,Poor
Sand,Slightly Acidic,Low,Deficient,Adequate,High,Moderate
Clay,Acidic,High,High,Deficient,Adequate,Good
Chalk,Slightly Alkaline,Very High,Low,Adequate,Low,Poor
Clay,Alkaline,Low,Excess,Low,Adequate,Excellent
Sand,Neutral,Low,Low,Adequate,Excess,Moderate
Sand,Acidic,Medium,Excess,Excess,High,Good
Silt,Acidic,Medium,Deficient,Excess,Low,Good
Sand,Neutral,High,Adequate,Low,Excess,Good
Chalk,Slightly Acidic,Very High,High,Deficient,Excess,Moderate
Sand,Slightly Acidic,High,Excess,Deficient,Adequate,Excellent
Loam,Slightly Acidic,Very High,Deficient,Excess,Adequate,Poor
Loam,Slightly Acidic,Very Low,Low,Low,Low,Moderate
Silt,Slightly Alkaline,High,Adequate,Adequate,Adequate,Moderate
Chalk,Slightly Acidic,Very Low,High,High,Low,Poor
Loam,Slightly Alkaline,Medium,Deficient,High,Low,Good
Chalk,Slightly Alkaline,Low,Adequate,Low,Low,Excellent
Clay,Acidic,Medium,Adequate,Low,Adequate,Good
Clay,Acidic,Very Low,Adequate,Low,Low,Poor
Silt,Neutral,Medium,Excess,Low,Adequate,Excellent
Silt,Neutral,Very High,Low,Excess,High,Poor
Chalk,Neutral,Low,Deficient,Deficient,Adequate,Poor
Silt,Alkaline,Medium,Excess,Excess,Excess,Good
Silt,Slightly Alkaline,Very Low,Adequate,Low,Adequate,Moderate
Chalk,Slightly Acidic,Very Low,High,Adequate,High,Moderate
Clay,Alkaline,Medium,Deficient,Low,High,Good
Chalk,Slightly Acidic,Very High,High,Low,Adequate,Critical
Silt,Neutral,Low,High,Low,High,Moderate
Clay,Slightly Acidic,Very High,Excess,Low,High,Poor
Sand,Acidic,Very Low,Adequate,High,Adequate,Poor
Loam,Slightly Alkaline,High,Adequate,Adequate,Deficient,Poor
Chalk,Slightly Acidic,High,High,Deficient,High,Moderate
Clay,Slightly Alkaline,High,Adequate,Low,High,Critical
Chalk,Neutral,Medium,Deficient,Deficient,Low,Poor
Chalk,Alkaline,Very High,High,High,High,Poor
Clay,Acidic,Very High,Low,High,Adequate,Excellent
Chalk,Slightly Acidic,Very Low,Excess,High,High,Poor
Clay,Neutral,High,Deficient,Adequate,High,Moderate
Clay,Acidic,Medium,Deficient,High,Deficient,Poor
Clay,Alkaline,Very Low,Excess,Deficient,Adequate,Critical
Loam,Neutral,High,Low,Low,Excess,Good
Chalk,Alkaline,Very High,Low,Adequate,Deficient,Good
Loam,Alkaline,Very High,Deficient,Low,Adequate,Moderate
Clay,Neutral,Very Low,High,Deficient,Excess,Moderate
Loam,Neutral,Very Low,Excess,Adequate,Deficient,Moderate
Clay,Slightly Acidic,High,Deficient,Excess,Excess,Moderate
Silt,Acidic,Medium,Low,Low,Deficient,Poor
Clay,Acidic,High,Low,Low,Adequate,Moderate
Sand,Slightly Alkaline,Medium,Excess,Deficient,High,Moderate
Silt,Neutral,High,Low,Excess,Excess,Moderate
Clay,Alkaline,Very High,Adequate,Low,Excess,Good
Chalk,Alkaline,Medium,Deficient,Adequate,Low,Good
Sand,Alkaline,Very Low,Deficient,High,Low,Excellent
Silt,Slightly Acidic,Medium,Deficient,Deficient,Deficient,Excellent
Loam,Slightly Acidic,Medium,Adequate,High,Adequate,Moderate
Chalk,Neutral,Very High,Adequate,High,Deficient,Poor
Silt,Slightly Alkaline,Medium,High,Excess,Deficient,Moderate
Loam,Slightly Alkaline,Low,Adequate,Deficient,Low,Poor
Chalk,Slightly Acidic,Very High,Deficient,Deficient,Excess,Good
Sand,Acidic,Medium,High,High,Excess,Moderate
Clay,Alkaline,High,Low,Deficient,Excess,Poor
Sand,Neutral,Medium,High,Excess,Low,Good
Clay,Slightly Alkaline,Low,Excess,Low,Excess,Good
Sand,Alkaline,Low,Excess,Excess,Excess,Good
Sand,Slightly Alkaline,Medium,High,Excess,Adequate,Moderate
Sand,Slightly Alkaline,Medium,Deficient,Adequate,Low,Moderate
Clay,Neutral,Very Low,Low,Excess,Deficient,Good
Sand,Alkaline,Very High,Low,Low,Low,Excellent
Chalk,Neutral,Medium,Adequate,Deficient,Low,Excellent
Chalk,Neutral,Very Low,Adequate,Adequate,High,Good
Sand,Acidic,High,Deficient,Low,Low,Moderate
Silt,Acidic,Very Low,Deficient,Excess,Excess,Critical
Sand,Slightly Alkaline,Very Low,Low,Low,High,Good
Silt,Acidic,Very High,Deficient,Adequate,Deficient,Good
Sand,Slightly Acidic,Very Low,Excess,Deficient,Adequate,Good
Clay,Alkaline,High,Excess,Excess,Excess,Moderate
Chalk,Slightly Alkaline,High,Deficient,High,Low,Critical
Clay,Slightly Acidic,Very High,Adequate,Deficient,Low,Poor
Loam,Neutral,Medium,Adequate,Deficient,Excess,Good
Sand,Neutral,High,Excess,Adequate,Low,Moderate
Loam,Neutral,Very High,High,Deficient,High,Poor
Silt,Alkaline,Very Low,Low,Excess,Adequate,Good
Silt,Alkaline,High,Deficient,Excess,Low,Moderate
Sand,Acidic,Low,Adequate,Excess,Deficient,Excellent
Loam,Slightly Alkaline,Medium,Deficient,Excess,Excess,Excellent
Clay,Neutral,High,Low,Adequate,Deficient,Good
Loam,Neutral,Medium,High,Deficient,Adequate,Excellent
Loam,Acidic,Medium,Deficient,High,Excess,Good
Loam,Slightly Alkaline,Very Low,Low,Low,High,Good
Clay,Acidic,High,Low,Adequate,Low,Moderate
Sand,Neutral,Medium,Low,High,Low,Good
Silt,Neutral,Very High,Adequate,Adequate,Deficient,Moderate
Clay,Neutral,Medium,Adequate,Deficient,Adequate,Good
Silt,Alkaline,Very Low,Adequate,Excess,High,Moderate
Sand,Alkaline,High,Low,Adequate,Low,Critical
Chalk,Acidic,Very Low,Adequate,Adequate,Low,Good
Sand,Acidic,Very Low,Low,High,Deficient,Moderate
Loam,Slightly Acidic,Very Low,High,Deficient,Excess,Poor
Clay,Slightly Acidic,Very High,Adequate,Adequate,Deficient,Good
Chalk,Slightly Acidic,Low,Deficient,Adequate,Excess,Moderate
Chalk,Neutral,Very High,Excess,Low,Low,Good
Chalk,Alkaline,Very High,High,Excess,Low,Good
Loam,Slightly Acidic,Low,Adequate,High,Low,Critical
Chalk,Slightly Acidic,Very Low,High,High,Adequate,Excellent
Clay,Alkaline,Very Low,Excess,High,Adequate,Poor
Loam,Neutral,Low,Adequate,Deficient,Deficient,Poor
Silt,Slightly Acidic,Very High,Excess,High,Adequate,Moderate
Chalk,Neutral,Very Low,High,Low,Excess,Poor
Silt,Alkaline,High,Adequate,High,Excess,Excellent
Silt,Slightly Acidic,Very High,High,Deficient,Excess,Good
Clay,Acidic,Very Low,High,Deficient,Excess,Poor
Chalk,Slightly Acidic,Very High,High,Low,Excess,Poor
Clay,Slightly Acidic,Low,Deficient,Excess,Deficient,Moderate
Silt,Neutral,High,Excess,Low,Deficient,Good
Chalk,Slightly Alkaline,Very Low,Adequate,Low,High,Good
Loam,Acidic,Low,High,Deficient,Adequate,Critical
Sand,Slightly Alkaline,Very Low,Excess,Deficient,High,Good
Silt,Neutral,High,Deficient,Adequate,Adequate,Poor
Silt,Slightly Acidic,High,Deficient,Deficient,High,Good
Sand,Alkaline,Low,Deficient,Low,Excess,Excellent
Clay,Acidic,Very High,Adequate,Adequate,Excess,Good
Loam,Acidic,Very Low,Low,High,Deficient,Poor
Clay,Alkaline,Very High,Low,Adequate,Excess,Good
Clay,Slightly Alkaline,Very High,High,Excess,High,Good
Silt,Neutral,Very Low,Excess,Deficient,Low,Good
Chalk,Slightly Acidic,Medium,Deficient,Low,Adequate,Critical
Chalk,Slightly Acidic,Medium,Adequate,Excess,Low,Excellent
Loam,Acidic,Very High,Low,High,Deficient,Critical
Chalk,Slightly Acidic,Low,Low,Adequate,Adequate,Good
Clay,Slightly Alkaline,Very High,High,Excess,Low,Good
Silt,Alkaline,Low,Adequate,Adequate,Deficient,Moderate
Clay,Acidic,Medium,Low,Low,High,Moderate
Clay,Slightly Alkaline,Low,Adequate,High,Low,Good
Silt,Slightly Alkaline,Low,Excess,Adequate,Low,Poor
Chalk,Slightly Alkaline,High,Deficient,Low,High,Poor
Sand,Slightly Acidic,Very High,Low,Adequate,High,Moderate
Silt,Acidic,Medium,High,Adequate,Excess,Poor
Clay,Alkaline,Very High,Excess,Low,Excess,Good
Clay,Neutral,Medium,Excess,Deficient,Adequate,Good
Loam,Acidic,Medium,High,High,High,Excellent
Silt,Neutral,Very High,Excess,Excess,Low,Moderate
Chalk,Acidic,Low,Deficient,Excess,Low,Good
Loam,Alkaline,Very High,Adequate,Deficient,Adequate,Excellent
Sand,Slightly Alkaline,Low,Adequate,High,Adequate,Poor
Sand,Slightly Alkaline,Very High,Excess,High,Deficient,Poor
Chalk,Neutral,Medium,Low,Deficient,Deficient,Poor
Clay,Alkaline,Medium,Low,Adequate,High,Poor
Clay,Neutral,Very Low,Adequate,Low,High,Good
Clay,Slightly Alkaline,Medium,Low,Adequate,Adequate,Moderate
Silt,Neutral,High,Deficient,Deficient,Excess,Good
Silt,Alkaline,High,Adequate,Deficient,Excess,Poor
Clay,Slightly Alkaline,Very Low,High,Adequate,Adequate,Critical
Loam,Slightly Alkaline,Very Low,Low,Deficient,Deficient,Excellent
Clay,Slightly Acidic,Low,Deficient,Adequate,Adequate,Poor
Sand,Alkaline,Low,High,Deficient,Excess,Good
Clay,Slightly Acidic,Medium,Adequate,Adequate,Adequate,Good
Silt,Alkaline,Very High,Low,Adequate,Excess,Good
Sand,Slightly Alkaline,Low,High,Deficient,Excess,Moderate
Sand,Neutral,Medium,Deficient,High,High,Good
Loam,Acidic,Very Low,High,High,Adequate,Good
Loam,Neutral,Very High,Deficient,Deficient,Adequate,Moderate
Sand,Alkaline,High,High,Adequate,Low,Good
Loam,Slightly Acidic,High,High,Adequate,Excess,Excellent
Loam,Slightly Acidic,Low,Excess,High,High,Moderate
Silt,Acidic,Low,Deficient,Excess,Low,Poor
Loam,Acidic,Low,Excess,High,Excess,Moderate
Silt,Slightly Alkaline,Very Low,Deficient,Adequate,Excess,Moderate
Clay,Slightly Acidic,Medium,Deficient,Low,Excess,Poor
Clay,Neutral,Medium,Low,Low,High,Good
Sand,Acidic,Low,High,High,Excess,Good
Clay,Alkaline,High,Excess,Adequate,Excess,Good
Loam,Alkaline,Very High,Excess,Deficient,High,Excellent
Clay,Neutral,Medium,Deficient,High,High,Moderate
Clay,Slightly Acidic,Medium,High,Low,Adequate,Good
Silt,Slightly Acidic,High,Deficient,Excess,Deficient,Good
Silt,Slightly Acidic,Low,Deficient,Excess,High,Good
Clay,Acidic,Very High,High,Adequate,Low,Good
Silt,Alkaline,Medium,Adequate,Adequate,Adequate,Moderate
Clay,Acidic,Low,Excess,Adequate,Excess,Moderate
Chalk,Alkaline,Very High,Deficient,High,Excess,Poor
Chalk,Alkaline,Low,Deficient,Excess,Deficient,Good
Silt,Neutral,Medium,Excess,Excess,Low,Excellent
Loam,Alkaline,Very High,Adequate,Low,Deficient,Good
Loam,Slightly Alkaline,High,Adequate,Low,Deficient,Good
Chalk,Neutral,Very Low,Adequate,Deficient,High,Poor
Sand,Slightly Acidic,Very High,High,Low,Deficient,Good
Sand,Alkaline,Medium,Excess,Excess,Deficient,Moderate
Chalk,Slightly Acidic,Very High,Deficient,Excess,High,Poor
Clay,Alkaline,Very High,Low,High,Deficient,Moderate
Silt,Acidic,Medium,Deficient,Excess,Adequate,Moderate
Silt,Slightly Acidic,Very Low,Adequate,Adequate,Deficient,Moderate
Sand,Slightly Alkaline,Very Low,Low,Deficient,Low,Good
Silt,Slightly Acidic,Very High,Low,High,High,Moderate
Chalk,Acidic,Very Low,High,High,Deficient,Good
Chalk,Acidic,High,Low,Deficient,Excess,Poor
Sand,Slightly Acidic,High,Low,Adequate,Deficient,Critical
Loam,Slightly Alkaline,High,Deficient,Low,Low,Good
Sand,Alkaline,Very Low,High,High,Low,Moderate
Silt,Alkaline,Medium,Adequate,High,Low,Moderate
Silt,Slightly Acidic,Very Low,Adequate,Excess,Adequate,Critical
Chalk,Alkaline,Very Low,Adequate,High,Low,Moderate
Loam,Acidic,Low,Deficient,Deficient,Adequate,Excellent
Chalk,Neutral,Very Low,Excess,Adequate,Deficient,Good
Clay,Alkaline,Low,Low,Deficient,Low,Poor
Loam,Slightly Acidic,High,High,Low,Deficient,Good
Clay,Acidic,High,Low,Deficient,Excess,Good
Sand,Slightly Acidic,Low,Deficient,High,High,Good
Chalk,Acidic,Very High,Deficient,Adequate,Adequate,Critical
Silt,Alkaline,Very High,High,High,Deficient,Good
Clay,Acidic,Very High,Deficient,Adequate,Adequate,Good
Loam,Neutral,Low,Low,Low,Excess,Excellent
Chalk,Slightly Acidic,Very High,High,Excess,High,Good
Sand,Slightly Alkaline,Medium,High,Deficient,Excess,Poor
Chalk,Alkaline,Low,High,Deficient,Deficient,Moderate
Loam,Slightly Alkaline,High,High,High,High,Poor
Silt,Slightly Alkaline,Very Low,Low,Deficient,Low,Moderate
Sand,Acidic,Very High,Excess,Deficient,Excess,Poor
Silt,Neutral,Very Low,Deficient,Excess,Low,Poor
Loam,Slightly Acidic,Very High,Deficient,Low,Deficient,Excellent
Loam,Alkaline,Very High,Excess,Deficient,Excess,Moderate
Clay,Neutral,Low,Low,Low,Adequate,Moderate
Clay,Alkaline,High,Excess,High,Adequate,Excellent
Loam,Alkaline,Very High,Adequate,Excess,Deficient,Poor
Sand,Slightly Alkaline,Low,High,Deficient,Excess,Poor
Chalk,Slightly Acidic,Very High,Low,Deficient,Low,Good
Loam,Slightly Acidic,Very High,High,Excess,Excess,Good
Chalk,Alkaline,Very High,High,Deficient,Adequate,Critical
Loam,Alkaline,Very Low,Adequate,Low,Excess,Moderate
Loam,Neutral,Low,Excess,High,Deficient,Poor
Clay,Acidic,High,Deficient,High,Adequate,Good
Silt,Slightly Alkaline,Very High,Low,Adequate,Deficient,Poor
Clay,Alkaline,Very High,High,Excess,Adequate,Moderate
Clay,Neutral,Medium,Deficient,Deficient,Excess,Good
Clay,Slightly Acidic,Medium,Adequate,Excess,High,Good
Sand,Slightly Acidic,Medium,High,Excess,Excess,Moderate
Silt,Neutral,Low,Adequate,High,Adequate,Excellent
Clay,Alkaline,Very High,High,Excess,Excess,Poor
Clay,Neutral,Very High,Excess,Excess,Adequate,Good
Clay,Neutral,Medium,Low,Low,Excess,Moderate
Loam,Slightly Acidic,Very Low,High,Low,Adequate,Good
Sand,Acidic,Very High,High,Low,Adequate,Good
Chalk,Neutral,High,Adequate,High,Adequate,Good
Sand,Alkaline,High,Low,High,Adequate,Good
Sand,Slightly Acidic,Very Low,High,Adequate,High,Good
Chalk,Slightly Acidic,Very High,Deficient,Excess,Low,Poor
Silt,Alkaline,Very High,Adequate,Deficient,Low,Good
Clay,Acidic,Medium,High,Deficient,Excess,Poor
Clay,Acidic,Low,Adequate,Low,Deficient,Excellent
Chalk,Neutral,High,Adequate,Deficient,High,Excellent
Loam,Slightly Alkaline,Very Low,High,Adequate,High,Poor
Silt,Neutral,Very High,Adequate,High,Deficient,Moderate
Sand,Acidic,Low,Low,High,Excess,Good
Chalk,Neutral,Very High,High,High,High,Good
Loam,Slightly Acidic,Very Low,Adequate,Adequate,Low,Excellent
Sand,Slightly Alkaline,Very Low,Adequate,Excess,Adequate,Excellent
Loam,Neutral,Very High,Low,Adequate,High,Poor
Chalk,Alkaline,Very Low,Low,Low,Adequate,Good
Sand,Slightly Acidic,High,Deficient,Adequate,Adequate,Poor
Clay,Alkaline,Very Low,Deficient,Low,Adequate,Poor
Silt,Alkaline,Very Low,Low,Low,Adequate,Good
Chalk,Neutral,Very High,Deficient,Deficient,Excess,Excellent
Chalk,Neutral,High,High,Excess,Low,Poor
Clay,Acidic,Medium,High,Adequate,Low,Moderate
Loam,Alkaline,Medium,Adequate,High,Low,Good
Clay,Alkaline,High,High,Low,High,Moderate
Loam,Alkaline,Low,High,Low,Adequate,Good
Silt,Acidic,Low,Deficient,Adequate,Adequate,Good
Clay,Neutral,Very Low,Low,Low,Adequate,Moderate
Chalk,Slightly Acidic,High,Excess,Deficient,Excess,Critical
Clay,Acidic,Very Low,Adequate,Excess,Deficient,Moderate
Chalk,Acidic,Low,Deficient,Low,Low,Poor
Clay,Alkaline,Very Low,Adequate,Adequate,Deficient,Good
Chalk,Slightly Alkaline,High,Excess,Low,High,Good
Silt,Neutral,Very High,Adequate,High,Low,Moderate
Sand,Alkaline,Low,High,Low,Low,Good
Clay,Slightly Acidic,Very High,Excess,Excess,High,Poor
Sand,Slightly Alkaline,High,Adequate,Excess,Low,Excellent
Sand,Alkaline,Very Low,Excess,High,Adequate,Poor
Silt,Acidic,Medium,High,High,Adequate,Moderate
Loam,Slightly Acidic,High,Excess,High,High,Moderate
Loam,Slightly Alkaline,Very High,Low,Deficient,Deficient,Good
Clay,Alkaline,Low,Low,Deficient,High,Critical
Sand,Slightly Acidic,High,Deficient,Deficient,High,Moderate
Clay,Slightly Acidic,Very Low,Low,Low,Low,Good
Loam,Neutral,Medium,Deficient,Excess,Deficient,Poor
Chalk,Alkaline,High,Low,Excess,Adequate,Good
Sand,Acidic,High,Adequate,Low,High,Poor
Chalk,Slightly Acidic,Very High,Deficient,Low,Excess,Good
Chalk,Slightly Alkaline,Very High,Deficient,Low,Excess,Good
Sand,Alkaline,Low,Excess,Low,Low,Moderate
Loam,Slightly Alkaline,Medium,Excess,Adequate,Low,Good
Silt,Slightly Acidic,Medium,Adequate,Excess,Deficient,Good
Chalk,Neutral,Very High,Deficient,Adequate,Excess,Moderate
Loam,Slightly Alkaline,High,Adequate,Deficient,Excess,Moderate
Sand,Alkaline,Medium,Deficient,Adequate,Deficient,Poor
Loam,Slightly Alkaline,High,Adequate,Adequate,High,Excellent
Clay,Slightly Alkaline,Low,Adequate,Deficient,Excess,Critical
Chalk,Alkaline,Low,Excess,Excess,Deficient,Good
Clay,Acidic,Low,Adequate,Adequate,Adequate,Good
Silt,Slightly Alkaline,Medium,High,High,High,Good
Chalk,Acidic,Very Low,Excess,Deficient,Deficient,Moderate
Clay,Slightly Acidic,Low,Adequate,High,Excess,Critical
Chalk,Neutral,Low,High,High,Low,Good
Chalk,Slightly Alkaline,Very Low,Low,Excess,High,Poor
Loam,Slightly Acidic,Very High,High,Adequate,Adequate,Poor
Sand,Slightly Alkaline,Low,Adequate,Excess,Excess,Moderate
Sand,Slightly Acidic,Very High,Excess,High,High,Moderate
Sand,Acidic,Low,Deficient,High,Low,Poor
Sand,Neutral,Very Low,Low,Deficient,Low,Good
Silt,Alkaline,Very High,Deficient,Adequate,Low,Good
Clay,Acidic,High,Adequate,Low,Excess,Good
Clay,Neutral,Medium,Adequate,High,Low,Moderate
Clay,Neutral,Very Low,Deficient,Adequate,High,Poor
Sand,Alkaline,Low,High,Low,Excess,Good
Silt,Slightly Acidic,Medium,High,Excess,High,Good
Loam,Alkaline,Very High,Deficient,Deficient,Adequate,Good
Clay,Slightly Acidic,High,Low,High,Excess,Good
Chalk,Slightly Acidic,Very High,Deficient,Adequate,Excess,Critical
Loam,Slightly Acidic,Very High,High,High,Deficient,Good
Sand,Slightly Acidic,High,Excess,Deficient,Deficient,Moderate
Silt,Neutral,Medium,Excess,High,Deficient,Poor
Sand,Alkaline,Low,High,Low,Excess,Critical
Clay,Alkaline,Very Low,Excess,Adequate,Adequate,Moderate
Loam,Slightly Acidic,Very High,Deficient,Excess,Low,Moderate
Silt,Slightly Alkaline,Very High,Adequate,Adequate,Deficient,Good
Sand,Neutral,Very Low,Low,High,Excess,Critical
Silt,Slightly Acidic,Medium,Excess,Low,Excess,Moderate
Chalk,Alkaline,High,Adequate,High,High,Moderate
Loam,Neutral,Low,Deficient,Excess,Deficient,Good
Loam,Alkaline,Low,Deficient,Deficient,High,Good
Sand,Slightly Acidic,Very High,Deficient,Adequate,Low,Moderate
Silt,Slightly Acidic,Very High,High,Excess,Low,Good
Silt,Slightly Alkaline,Medium,High,Deficient,Low,Moderate
Silt,Slightly Alkaline,High,High,Excess,Excess,Good
Clay,Acidic,Very High,Deficient,Low,Excess,Poor
Sand,Slightly Acidic,Medium,Excess,Deficient,High,Good
Chalk,Neutral,Very High,High,Low,Excess,Poor
Chalk,Neutral,High,Excess,Adequate,Deficient,Poor
Loam,Acidic,Very Low,Adequate,Adequate,Low,Good
Sand,Slightly Acidic,Very High,Deficient,Excess,Excess,Good
Loam,Slightly Acidic,Low,High,High,Low,Poor
Loam,Acidic,Very High,High,High,High,Moderate
Loam,Acidic,Very High,Low,High,High,Moderate
Clay,Alkaline,Very Low,Deficient,High,Low,Poor
Clay,Slightly Alkaline,Very Low,High,High,Low,Excellent
Chalk,Slightly Acidic,High,Low,High,High,Moderate
Sand,Alkaline,Very High,Low,Adequate,Adequate,Moderate
Clay,Acidic,High,Excess,Low,High,Poor
Silt,Acidic,Very Low,High,Deficient,Adequate,Poor
Silt,Slightly Acidic,Low,Deficient,Adequate,Low,Moderate
Clay,Alkaline,Very High,Low,Adequate,High,Poor
Clay,Slightly Acidic,Medium,Excess,Deficient,Deficient,Poor
Sand,Slightly Alkaline,Low,Adequate,Low,Adequate,Critical
Chalk,Slightly Alkaline,High,Low,Excess,Adequate,Good
Chalk,Alkaline,Medium,Adequate,Deficient,Deficient,Poor
Clay,Acidic,High,High,Excess,Excess,Critical
Sand,Neutral,Medium,Excess,Adequate,High,Poor
Silt,Acidic,Very Low,Adequate,Deficient,Deficient,Poor
Sand,Slightly Alkaline,Very Low,Excess,Deficient,Adequate,Good
Silt,Slightly Acidic,High,High,High,Adequate,Good
Clay,Slightly Acidic,Very High,High,Low,Adequate,Excellent
Sand,Acidic,Low,High,Adequate,Adequate,Critical
Clay,Slightly Alkaline,Low,Low,Adequate,Low,Good
Silt,Slightly Acidic,High,Adequate,Low,Adequate,Excellent
Silt,Acidic,High,High,Deficient,Deficient,Poor
Loam,Neutral,Medium,Deficient,High,Low,Poor
Sand,Neutral,Very High,Low,Deficient,High,Excellent
Clay,Neutral,Low,Low,Excess,High,Poor
Silt,Slightly Alkaline,High,Excess,High,Excess,Poor
Clay,Slightly Alkaline,Very High,High,Adequate,Excess,Moderate
Loam,Slightly Acidic,Medium,Excess,Low,Low,Critical
Clay,Neutral,Very Low,Excess,Deficient,High,Good
Silt,Slightly Alkaline,Very High,Excess,Low,Low,Moderate
Clay,Slightly Alkaline,Very High,Low,High,Excess,Moderate
Sand,Slightly Acidic,Very Low,Low,Low,High,Good
Chalk,Acidic,Medium,Excess,Excess,High,Excellent
Silt,Acidic,High,Adequate,Adequate,Excess,Moderate
Chalk,Slightly Alkaline,Very High,Excess,Low,Excess,Good
Silt,Neutral,High,High,Adequate,Low,Poor
Silt,Slightly Acidic,High,High,Excess,Excess,Moderate
Chalk,Alkaline,Very Low,Deficient,High,Excess,Excellent
Chalk,Acidic,High,Adequate,Deficient,High,Moderate
Loam,Slightly Alkaline,Very High,Low,Deficient,High,Moderate
Silt,Slightly Alkaline,Very Low,Adequate,Deficient,Low,Critical
Loam,Slightly Alkaline,Very Low,Excess,Adequate,Low,Good
Loam,Slightly Acidic,Very High,High,High,Excess,Critical
Sand,Slightly Acidic,High,Excess,Deficient,Excess,Good
Sand,Slightly Acidic,Very Low,High,Adequate,High,Moderate
Chalk,Slightly Alkaline,Low,Excess,Low,High,Good
Loam,Slightly Acidic,Low,High,Deficient,Adequate,Good
Sand,Alkaline,Very High,Adequate,Excess,High,Good
Silt,Acidic,Low,Adequate,Low,Deficient,Poor
Loam,Slightly Acidic,Very Low,Excess,Low,Excess,Poor
Clay,Alkaline,Medium,Adequate,High,High,Good
Loam,Neutral,Very Low,Low,Deficient,Low,Excellent
Chalk,Neutral,Medium,Deficient,Deficient,High,Moderate
Clay,Acidic,Medium,Excess,Adequate,Excess,Excellent
Silt,Neutral,Very Low,Adequate,Low,Excess,Good
Chalk,Slightly Alkaline,Very Low,Excess,Excess,High,Moderate
Silt,Slightly Acidic,Low,Excess,Adequate,Low,Moderate
Chalk,Alkaline,Medium,High,Deficient,Low,Good
Chalk,Acidic,Medium,Low,Deficient,Excess,Good
Clay,Slightly Acidic,Very High,Deficient,Low,Low,Good
Loam,Neutral,Low,Low,Adequate,Adequate,Poor
Sand,Acidic,High,Low,Adequate,Excess,Good
Sand,Slightly Acidic,Very High,High,Low,Adequate,Poor
Loam,Slightly Alkaline,Very High,Excess,Low,Excess,Good
Chalk,Acidic,High,High,Low,High,Poor
Clay,Neutral,Medium,Excess,Excess,High,Excellent
Sand,Neutral,High,High,Low,Excess,Moderate
Silt,Alkaline,High,Low,Low,Adequate,Critical
Silt,Slightly Acidic,Medium,Adequate,High,High,Good
Chalk,Neutral,Low,Adequate,Adequate,Excess,Good
Loam,Slightly Alkaline,Very High,Low,Adequate,Low,Good
Sand,Neutral,Medium,Adequate,Low,Deficient,Good
